id;start_date;updated_date;survey_id;email;status;device_type;contact_id;contact_list_id;promotion_code;1_¿Cuál es el principal objetivo de su visita al BOAM?;1_¿Cuál es el principal objetivo de su visita al BOAM?_Otro;2_¿Ha conseguido cumplir su objetivo?;3_¿Con qué frecuencia consulta el Boletín Oficial del Ayuntamiento de Madrid?;4_¿Con qué perfil se identifica usted más?;4_¿Con qué perfil se identifica usted más?_Otro;5_¿De qué forma mayoritaria realiza sus consultas del Boletín Oficial del Ayuntamiento?;6_¿Conoce el servicio de suscripción al Boletín Oficial del Ayuntamiento de Madrid?;7_Indique su grado de satisfacción general con el Boletín Oficial del Ayuntamiento de Madrid;8_Le agradecemos cualquier comentario que nos ayude a mejorar;9_¿Cuál es su sexo?;10_¿A qué grupo de edad pertenece?
43165092;11/04/2024 12:03;06/05/2024 11:04;359511;;Parcial;Desktop;;;;Localizar una disposición concreta publicada hace tiempo.;;;;;;;;;;;
43203990;08/04/2024 13:31;12/04/2024 8:20;359511;;Parcial;Desktop;;;;Consultar el BOAM de hoy;;Sí;Mensualmente;Soy un/a trabajador/a autónomo;;Desde un PC;Sí;3;fa;;
43204306;08/04/2024 14:23;08/04/2024 14:23;359511;;Parcial;Mobile;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en un Administración Pública;;Desde un PC;Sí;7;;;
43267287;11/04/2024 14:08;01/10/2024 10:01;359511;;Parcial;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Estoy estudiando / opositando;;Desde un PC;;10;;;
43281268;12/04/2024 8:34;07/05/2024 14:14;359511;;Parcial;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en una Administración Pública;;Desde un PC;No;0;;;
43311127;15/04/2024 15:16;15/04/2024 15:19;359511;;Parcial;Mobile;;;;;;;;;;Desde un PC;;;;;
43633926;30/04/2024 12:53;30/04/2024 13:02;359511;;Completa;Desktop;;;;Buscar todas las disposiciones publicadas sobre un tema o asunto concreto.;;Sí;Diariamente;Soy un/a trabajador/a autónomo;;Desde un PC;No;8;Ha desaparecido un resultado de diciembre de 2023 sobre el plan Relanza.;Mujer;Entre 40 y 65
43634492;30/04/2024 12:57;30/04/2024 12:57;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo en un Administración Pública;;Desde un PC;Sí;7;;Mujer;Entre 40 y 65
43636831;30/04/2024 13:38;30/04/2024 13:40;359511;;Completa;Desktop;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Otro;Asociacionismo;Desde un PC;No;4;El buscador es muy deficiente. Al introducir un término de búsqueda aparecen muchos resultados que no coinciden con las palabras escritas;Hombre;Entre 18 y 40
43641135;30/04/2024 23:09;30/04/2024 23:10;359511;;Completa;Tablet;;;;Consultar el BOAM de hoy;;Sí;Diariamente;Trabajo por cuenta ajena;;Desde un dispositivo móvil;No;9;;Hombre;Entre 18 y 40
